class_id,label,precision,recall,f1,support
0,GOOD MORNING,1.0,1.0,1.0,4
1,GOOD AFTERNOON,1.0,0.75,0.857,4
2,GOOD EVENING,0.833,1.0,0.909,5
3,HELLO,1.0,1.0,1.0,4
4,HOW ARE YOU,1.0,1.0,1.0,4
5,IM FINE,1.0,1.0,1.0,4
6,NICE TO MEET YOU,1.0,1.0,1.0,5
7,THANK YOU,0.8,1.0,0.889,4
8,YOURE WELCOME,1.0,0.75,0.857,4
9,SEE YOU TOMORROW,1.0,1.0,1.0,4
10,UNDERSTAND,1.0,1.0,1.0,4
11,DON’T UNDERSTAND,1.0,1.0,1.0,4
12,KNOW,1.0,1.0,1.0,4
13,DON’T KNOW,1.0,1.0,1.0,4
14,NO,0.8,1.0,0.889,4
15,YES,1.0,0.75,0.857,4
16,WRONG,1.0,1.0,1.0,4
17,CORRECT,1.0,1.0,1.0,5
18,SLOW,1.0,1.0,1.0,4
19,FAST,1.0,1.0,1.0,4
20,ONE,1.0,1.0,1.0,4
21,TWO,0.667,1.0,0.8,4
22,THREE,1.0,0.5,0.667,4
23,FOUR,0.5,0.75,0.6,4
24,FIVE,0.5,0.25,0.333,4
25,TODAY,1.0,1.0,1.0,4
26,TOMORROW,0.8,1.0,0.889,4
27,YESTERDAY,1.0,0.75,0.857,4
28,FATHER,1.0,1.0,1.0,4
29,MOTHER,1.0,1.0,1.0,4
30,SON,1.0,1.0,1.0,4
31,DAUGHTER,1.0,1.0,1.0,4
32,GRANDFATHER,1.0,1.0,1.0,4
33,GRANDMOTHER,1.0,1.0,1.0,4
34,BOY,1.0,1.0,1.0,4
35,GIRL,1.0,1.0,1.0,4
36,MAN,1.0,1.0,1.0,4
37,WOMAN,1.0,1.0,1.0,4
38,DEAF,1.0,1.0,1.0,4
39,HARD OF HEARING,1.0,1.0,1.0,4
40,BLUE,1.0,1.0,1.0,4
41,RED,1.0,1.0,1.0,4
42,BLACK,1.0,1.0,1.0,4
43,WHITE,1.0,1.0,1.0,4
44,BREAD,1.0,1.0,1.0,4
45,EGG,1.0,1.0,1.0,4
46,CHICKEN,1.0,1.0,1.0,4
47,RICE,1.0,1.0,1.0,4
48,HOT,1.0,1.0,1.0,4
49,COLD,1.0,1.0,1.0,4
