clip,class_id,split,status,frames,fps,pose_rate,face_rate,lh_rate,rh_rate,any_hand_rate,brightness,seconds
74/6.MOV,74,train,ok,244,60.0,1.0,1.0,0.0,0.279,0.279,1.0,21.1
17/6.MOV,17,train,ok,243,60.0,1.0,1.0,0.305,0.362,0.37,1.0,22.3
8/17.MOV,8,train,ok,242,60.0,1.0,1.0,0.0,0.417,0.417,1.0,22.4
4/2.MOV,4,train,ok,243,60.0,1.0,1.0,0.267,0.453,0.453,1.0,22.5
62/1.MOV,62,train,ok,244,60.0,1.0,1.0,0.0,0.553,0.553,1.0,23.0
10/0.MOV,10,train,ok,245,60.0,1.0,1.0,0.0,0.518,0.518,1.0,23.2
14/15.MOV,14,train,ok,244,60.0,1.0,1.0,0.0,0.311,0.311,1.0,24.5
91/14.MOV,91,train,ok,243,60.0,1.0,1.0,0.3,0.313,0.321,1.0,23.3
3/8.MOV,3,train,ok,244,60.0,1.0,1.0,0.0,0.275,0.275,1.0,23.3
91/18.MOV,91,train,ok,243,60.0,1.0,1.0,0.362,0.35,0.424,1.0,23.0
14/20.MOV,14,train,ok,244,60.0,1.0,1.0,0.0,0.381,0.381,1.0,24.0
1/0.MOV,1,train,ok,244,60.0,1.0,1.0,0.008,0.512,0.512,1.0,23.8
89/10.MOV,89,train,ok,244,60.0,1.0,1.0,0.0,0.332,0.332,1.0,23.6
89/12.MOV,89,train,ok,244,60.0,1.0,1.0,0.0,0.357,0.357,1.0,23.4
17/7.MOV,17,train,ok,243,60.0,1.0,1.0,0.263,0.35,0.354,1.0,24.0
51/0.MOV,51,train,ok,243,60.0,1.0,1.0,0.0,0.333,0.333,1.0,24.0
86/5.MOV,86,train,ok,244,60.0,1.0,1.0,0.328,0.311,0.336,1.0,23.6
53/19.MOV,53,train,ok,244,60.0,1.0,1.0,0.0,0.389,0.389,1.0,24.2
55/9.MOV,55,train,ok,244,60.0,1.0,1.0,0.234,0.316,0.357,1.0,23.0
91/10.MOV,91,train,ok,243,60.0,1.0,1.0,0.358,0.358,0.383,1.0,23.5
67/2.MOV,67,train,ok,244,60.0,1.0,1.0,0.0,0.283,0.283,1.0,24.0
0/18.MOV,0,train,ok,244,60.0,1.0,1.0,0.0,0.5,0.5,1.0,24.1
64/9.MOV,64,train,ok,244,60.0,1.0,1.0,0.0,0.393,0.393,1.0,24.0
4/20.MOV,4,train,ok,243,60.0,1.0,1.0,0.337,0.527,0.535,1.0,24.0
89/7.MOV,89,train,ok,244,60.0,1.0,1.0,0.0,0.344,0.344,1.0,23.9
